subject,gender,age,rtngClimArousal,rtngNeuArousal,rtngClimClimRel,rtngNeuClimRel,ClimConcernPercent,Lag1diff,ClimLag1,ClimLag2,ClimLag4,ClimLag7,NeutrLag1,NeutrLag2,NeutrLag4,NeutrLag7
s818,m,20,67.33,13.08,84.76,16.67,50.9,7.14,78.57,92.86,100,85.71,71.43,100,92.86,100
s819,f,20,47.36,51.02,60.06,31.49,30.84,-7.14,42.86,57.14,42.86,42.86,50,50,57.14,78.57
s820,f,21,58.9,43.88,70.62,42.65,73.95,-7.14,64.29,71.43,71.43,57.14,71.43,64.29,78.57,35.71
s821,f,19,56.52,46.08,83.64,49.89,30.54,-7.14,71.43,85.71,92.86,85.71,78.57,92.86,85.71,92.86
s822,m,20,67.56,37.17,87.59,52.03,10.48,7.14,71.43,64.29,71.43,78.57,64.29,85.71,50,71.43
s823,f,20,67.69,21.9,86.92,29.16,37.43,0,21.43,71.43,85.71,57.14,21.43,57.14,78.57,57.14
s825,f,21,59.07,38.77,54.76,37.56,48.8,21.43,42.86,57.14,42.86,64.29,21.43,71.43,50,42.86
s826,f,20,59.16,45.51,58.14,42.46,44.91,-14.29,42.86,64.29,57.14,71.43,57.14,64.29,64.29,85.71
s827,m,20,34.07,20.16,32.58,20.84,24.55,-35.71,35.71,57.14,57.14,42.86,71.43,50,64.29,71.43
s828,m,19,36.28,28.93,78.88,21.29,27.84,0,71.43,78.57,71.43,71.43,71.43,78.57,71.43,85.71
s829,f,23,53.57,32.27,90.14,31.94,39.22,21.43,92.86,92.86,78.57,100,71.43,71.43,85.71,85.71
s830,f,40,59.96,49.1,94.15,56.01,36.83,7.14,78.57,92.86,100,92.86,71.43,71.43,100,100
s833,f,23,31.89,8.13,74.43,12.45,37.43,-21.43,50,57.14,92.86,85.71,71.43,71.43,78.57,85.71
s834,f,18,47.83,17.04,79.81,14.05,74.55,21.43,71.43,78.57,92.86,78.57,50,78.57,85.71,78.57
s835,f,22,58.14,20.53,87.71,33.09,50,0,64.29,92.86,100,85.71,64.29,78.57,78.57,78.57
s836,f,27,41.68,6.16,96.92,19.2,78.74,0,42.86,64.29,85.71,78.57,42.86,92.86,100,92.86
s837,m,21,56.48,49.1,55.53,50.99,99.1,28.57,92.86,92.86,92.86,100,64.29,85.71,85.71,92.86
s839,f,18,19.72,0.96,94.56,8.29,63.17,0,100,85.71,92.86,92.86,100,85.71,100,92.86
s840,f,22,72.73,42.23,89.61,44.48,87.72,14.29,50,28.57,35.71,50,35.71,42.86,50,28.57
s841,m,19,65.41,33.2,92.1,36.71,37.72,0,92.86,100,92.86,100,92.86,71.43,92.86,100
s842,f,21,65.11,39.45,85.35,49.2,94.91,21.43,78.57,71.43,92.86,71.43,57.14,71.43,85.71,85.71
s843,f,22,34.83,17.47,90.48,15.38,25.75,14.29,71.43,92.86,100,85.71,57.14,78.57,78.57,92.86
s844,m,19,59.45,37.5,83.93,28.56,50,-7.14,71.43,78.57,78.57,71.43,78.57,85.71,85.71,92.86
s845,f,19,48.86,26.78,58.12,10.55,49.4,-7.14,71.43,92.86,85.71,78.57,78.57,85.71,92.86,85.71
s847,f,21,72.06,50.4,66.4,51.3,98.5,-14.29,28.57,42.86,57.14,28.57,42.86,42.86,35.71,35.71
s849,f,18,43.23,18.95,82.76,11.53,49.7,35.71,64.29,57.14,50,78.57,28.57,64.29,64.29,71.43
s850,f,22,45.75,47.11,68.71,41.06,38.92,0,64.29,42.86,71.43,64.29,64.29,64.29,71.43,50
s851,f,20,72.02,25.72,91.18,32.01,69.76,0,64.29,85.71,92.86,85.71,64.29,71.43,100,92.86
s852,f,19,24.45,11.46,99.75,23.61,70.06,21.43,57.14,92.86,100,100,35.71,50,100,100
s853,m,21,24.09,14.25,99.52,39.88,82.34,-14.29,42.86,92.86,85.71,85.71,57.14,64.29,92.86,78.57
s854,f,20,50.49,36.89,83,20.55,31.44,21.43,35.71,57.14,85.71,78.57,14.29,57.14,85.71,85.71
s855,f,20,74.33,36.11,95.48,26.69,100,28.57,71.43,78.57,92.86,100,42.86,85.71,78.57,92.86
s856,m,20,36.73,11.05,94,25.73,49.7,0,85.71,78.57,85.71,85.71,85.71,92.86,85.71,85.71
s857,f,20,61.9,62.28,65.08,64.67,75.75,-14.29,57.14,42.86,21.43,64.29,71.43,42.86,42.86,71.43
s859,m,19,32.2,16.04,64.87,15.4,59.58,28.57,64.29,57.14,78.57,78.57,35.71,85.71,85.71,71.43
s862,f,22,75.87,35.81,92.11,59.64,85.93,7.14,64.29,42.86,50,42.86,57.14,71.43,57.14,50
s863,f,18,48.35,17.38,89.66,25.74,27.25,0,71.43,92.86,100,85.71,71.43,85.71,71.43,57.14
s864,f,20,61.69,34.24,90.6,41.36,84.13,7.14,64.29,100,85.71,85.71,57.14,85.71,78.57,78.57
s865,f,20,71.72,35.43,83.14,44,78.14,-21.43,57.14,71.43,64.29,78.57,78.57,85.71,64.29,92.86
s867,f,20,54.08,48.64,74.69,48.76,75.45,14.29,50,7.14,28.57,35.71,35.71,71.43,57.14,50
s871,f,19,70.7,39.99,78.13,32.26,42.51,-21.43,21.43,42.86,42.86,35.71,42.86,71.43,42.86,64.29
s872,m,26,39.93,22.96,85.56,35.04,63.77,0,57.14,85.71,42.86,78.57,57.14,85.71,71.43,85.71
s874,f,25,47.23,31.13,51.21,34.48,69.46,-7.14,28.57,14.29,35.71,14.29,35.71,28.57,42.86,28.57
s875,m,29,49.98,49.97,49.99,50,50,-21.43,21.43,64.29,64.29,92.86,42.86,42.86,78.57,78.57
s876,f,19,35.47,30.9,71.63,25.97,31.74,21.43,57.14,57.14,85.71,92.86,35.71,57.14,78.57,71.43
s877,f,21,46.23,21.64,86.77,28.87,72.16,-7.14,78.57,85.71,64.29,85.71,85.71,78.57,92.86,78.57
s878,f,20,54.15,49.83,61.88,53.98,32.34,-14.29,21.43,57.14,7.14,35.71,35.71,64.29,71.43,64.29
s879,f,21,8.03,13.46,75.5,15.96,42.51,0,64.29,57.14,57.14,28.57,64.29,71.43,50,71.43
s880,f,20,55.43,19.42,91.65,38.23,76.05,0,57.14,50,100,78.57,57.14,64.29,85.71,100
s881,m,22,52.96,26.5,73.95,14.39,36.23,0,57.14,71.43,100,92.86,57.14,71.43,85.71,85.71
s883,f,19,39.65,7.61,95.25,23.08,36.53,21.43,64.29,71.43,85.71,78.57,42.86,64.29,78.57,78.57
s884,f,22,24.13,25.74,83.38,22.56,43.41,21.43,28.57,42.86,71.43,92.86,7.14,57.14,71.43,50
s885,m,24,48.68,40.81,54.76,48.19,67.96,-21.43,50,92.86,78.57,71.43,71.43,57.14,71.43,57.14
s886,f,21,58.75,52.2,91.84,30.77,36.53,0,85.71,92.86,85.71,92.86,85.71,100,92.86,85.71
s887,f,22,70.25,31.32,85.16,40.58,82.04,0,85.71,92.86,85.71,92.86,85.71,78.57,100,92.86
s888,f,18,50.88,15.83,87.48,21.46,86.23,0,14.29,57.14,71.43,71.43,14.29,57.14,92.86,85.71
s890,f,19,68.99,17.01,74.68,23.47,54.79,0,28.57,42.86,14.29,21.43,28.57,78.57,64.29,57.14
s891,m,19,7.19,7.99,97.68,26.34,89.22,21.43,78.57,78.57,78.57,100,57.14,92.86,100,100
s892,f,18,64.23,33.83,84.23,39.19,30.54,0,71.43,78.57,71.43,71.43,71.43,71.43,85.71,92.86
s893,f,20,69.74,52.43,77.57,42.74,50.6,35.71,78.57,85.71,71.43,85.71,42.86,50,92.86,100
s894,f,19,77.99,46.17,92.71,51.6,55.69,-14.29,28.57,64.29,85.71,92.86,42.86,50,71.43,85.71
s895,f,18,49.87,8.99,84.94,18.71,69.16,7.14,71.43,92.86,92.86,92.86,64.29,92.86,92.86,100
s896,f,20,35.39,26.73,79.2,28.38,30.84,7.14,78.57,71.43,71.43,85.71,71.43,85.71,71.43,92.86
s897,f,19,51.2,16.53,78.48,3.9,66.47,7.14,92.86,78.57,92.86,85.71,85.71,92.86,85.71,100
s898,m,18,58.62,4.72,86.15,9.5,87.13,7.14,57.14,42.86,42.86,78.57,50,42.86,50,57.14
s899,f,19,45.31,10.71,89.47,9.44,100,14.29,64.29,71.43,85.71,78.57,50,42.86,64.29,78.57
s900,f,21,31.67,25.47,91.31,23.87,79.34,35.71,64.29,71.43,78.57,78.57,28.57,57.14,85.71,100
s901,m,19,29.47,3.11,99.94,19.1,37.43,0,78.57,78.57,92.86,85.71,78.57,64.29,85.71,92.86
s902,m,22,45.79,49.69,59.39,55.1,95.21,21.43,64.29,78.57,42.86,85.71,42.86,71.43,64.29,42.86
s903,m,18,73.44,21.27,83.31,26.97,68.56,21.43,71.43,85.71,85.71,78.57,50,71.43,92.86,71.43
s904,m,19,67.15,47.52,90.53,37.53,42.51,28.57,64.29,85.71,92.86,71.43,35.71,92.86,100,92.86
s905,f,19,45.04,13.47,66.36,7.62,31.74,14.29,78.57,57.14,92.86,71.43,64.29,50,92.86,64.29
s906,f,22,52.6,18.43,92.3,16.45,60.18,-28.57,57.14,57.14,64.29,50,85.71,71.43,50,50
s908,f,22,58.05,31.39,88.55,20.49,56.89,0,50,28.57,50,71.43,50,50,78.57,71.43
s873,f,18,57.3,36.86,60.6,40.8,52.69,0,42.86,21.43,28.57,14.29,42.86,42.86,21.43,35.71
s866,f,21,53.65,56.44,46.45,53.4,50.3,-28.57,14.29,14.29,14.29,21.43,42.86,42.86,21.43,42.86
s846,f,22,66.43,54.25,65.75,51.56,59.88,-7.14,14.29,7.14,21.43,21.43,21.43,21.43,35.71,28.57
s848,f,19,42.35,38.12,68.26,39.01,65.57,-21.43,7.14,14.29,28.57,21.43,28.57,42.86,28.57,35.71
